Año,Periodo,Muertes Semanales Todas Causas,Muertes Semanales Covid
2021,Semana 2,11862,0
2021,Semana 3,1295,0
2021,Semana 4,12703,0
2021,Semana 5,11577,0
2021,Semana 6,10375,0
2021,Semana 7,9489,1652
2021,Semana 8,9037,2041
2021,Semana 9,8546,1996
2021,Semana 10,8325,1120
2021,Semana 11,8080,652
2021,Semana 12,8199,2100
2021,Semana 13,8200,688
2021,Semana 14,8079,630
2021,Semana 15,7958,653
2021,Semana 16,8094,610
2021,Semana 17,7867,625
2021,Semana 18,8067,576
2021,Semana 19,7744,547
2021,Semana 20,7615,281
2021,Semana 21,7438,285
2021,Semana 22,7355,291
2021,Semana 23,7713,305
2021,Semana 24,7807,151
2021,Semana 25,7286,127
2021,Semana 26,7555,132
2021,Semana 27,7543,92
2021,Semana 28,7564,93
2021,Semana 29,8479,125
2021,Semana 30,8367,265
2021,Semana 31,8642,520
2021,Semana 32,8856,464
2021,Semana 33,8759,666
2021,Semana 34,8219,864
2021,Semana 35,7939,795
2021,Semana 36,7900,495
2021,Semana 37,7512,493
2021,Semana 38,7435,446
2021,Semana 39,7555,234
2021,Semana 40,7529,315
2021,Semana 41,7590,196
2021,Semana 42,7745,158
2021,Semana 43,8182,236
2021,Semana 44,7819,136
2021,Semana 45,8723,169
2021,Semana 46,8786,137
2021,Semana 47,8848,145
2021,Semana 48,9377,204
2021,Semana 49,9012,222
2021,Semana 50,9489,327
2021,Semana 51,9780,311
2021,Semana 52,9827,386
2022,Semana 1,9936,529
2022,Semana 2,10695,825
2022,Semana 3,10848,982
2022,Semana 4,11228,1225
2022,Semana 5,10891,1269
2022,Semana 6,10031,1760
2022,Semana 7,9270,2003
2022,Semana 8,8944,1412
2022,Semana 9,8629,1003
2022,Semana 10,8508,722
2022,Semana 11,8531,568
2022,Semana 12,8538,689
2022,Semana 13,8496,149
2022,Semana 14,8703,563
2022,Semana 15,8692,162
2022,Semana 16,8379,1603
2022,Semana 17,8501,1734
2022,Semana 18,8463,1649
2022,Semana 19,8779,1624
2022,Semana 20,8829,1470
2022,Semana 21,7935,1292
2022,Semana 22,8203,1263
2022,Semana 23,8435,885
2022,Semana 24,8323,691
2022,Semana 25,7973,317
